Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",218.900000,-111.100000,90.000000,bottom
"C2","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",216.200000,-111.100000,90.000000,bottom
"DP1","SS14","D_SMA",205.300000,-111.200000,180.000000,bottom
"F1","PTC","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",210.700000,-111.200000,-90.000000,bottom
"J1","in","JST_EH_S3B-EH_1x03_P2.50mm_Horizontal",202.600000,-116.400000,0.000000,bottom
"Q1","2N7002","SOT-23_Handsoldering",218.900000,-120.700000,90.000000,bottom
"RP1","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",212.500000,-116.400000,90.000000,bottom
"RP2","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",215.200000,-116.400000,90.000000,bottom
"D1","LED","LED_PLCC_2835_Handsoldering",205.171833,-60.796477,0.000000,top
"D2","LED","LED_PLCC_2835_Handsoldering",220.171833,-64.815714,-30.000000,top
"D3","LED","LED_PLCC_2835_Handsoldering",231.152595,-75.796477,-60.000000,top
"D4","LED","LED_PLCC_2835_Handsoldering",235.171833,-90.796477,-90.000000,top
"D5","LED","LED_PLCC_2835_Handsoldering",231.152595,-105.796477,-120.000000,top
"D6","LED","LED_PLCC_2835_Handsoldering",220.171833,-116.777239,-150.000000,top
"D7","LED","LED_PLCC_2835_Handsoldering",205.171833,-120.796477,180.000000,top
"D8","LED","LED_PLCC_2835_Handsoldering",190.171833,-116.777239,150.000000,top
"D9","LED","LED_PLCC_2835_Handsoldering",179.191070,-105.796477,120.000000,top
"D10","LED","LED_PLCC_2835_Handsoldering",175.171833,-90.796477,90.000000,top
"D11","LED","LED_PLCC_2835_Handsoldering",179.191070,-75.796477,60.000000,top
"D12","LED","LED_PLCC_2835_Handsoldering",190.171832,-64.815714,30.000000,top
"R1","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",204.796512,-57.000000,0.000000,top
"R2","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",221.796512,-61.555136,-30.000000,top
"R3","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.241375,-74.000000,-60.000000,top
"R4","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",238.796512,-91.000000,-90.000000,top
"R5","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.241375,-108.000000,-120.000000,top
"R6","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",221.796512,-120.444863,-150.000000,top
"R7","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",204.796512,-125.000000,180.000000,top
"R8","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.796512,-120.444863,150.000000,top
"R9","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",175.351648,-108.000000,120.000000,top
"R10","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.796512,-91.000000,90.000000,top
"R11","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",175.351648,-74.000000,60.000000,top
"R12","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.796511,-61.555136,30.000000,top
"U1","RPI_CAM_3","RPI_Cam3",195.125418,-81.841285,0.000000,top
