"ITEM_NUMBER","Reference","Value","Footprint","Description","QUANTITY","DNP","MPN","SKU","Link"
"1","C1","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","1","","","",""
"2","C2","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","1","","","",""
"3","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12","LED","LED_SMD:LED_PLCC_2835_Handsoldering","Light emitting diode","12","","","",""
"4","DP1","SS14","Diode_SMD:D_SMA","40V 1A Schottky Diode, SMA","1","","","",""
"5","F1","PTC","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resettable fuse, polymeric positive temperature coefficient, small symbol","1","","","",""
"6","J1","in","Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","1","","","",""
"7","Q1","2N7002","Package_TO_SOT_SMD:SOT-23_Handsoldering","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23","1","","","",""
"8","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","150","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","12","","","",""
"9","RP1","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","1","","","",""
"10","RP2","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small US symbol","1","","","",""
"11","U1","RPI_CAM_3","RPICAM:RPI_Cam3","","1","","","",""
